54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
54.25	25.26	145.23	1000.25	85.78
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
45.25	100	25.24	145.25	78.25
141.25	589.00	14.25	145.25	1256.00
200.59	45.89	1578.25	7845.25	12.00
156.23	45.25	78.96	7815.2	751.25
15.25	45.25	99.32	120.3	145.25
